periodStartTime,MO,M8020C3,M8020C6,M8006C1,M80006C0,M8013C5,M8013C17,M8013C18,M8013C19,M8013C34,M8013C31,M8013C21,M8013C93,M8013C20,M8006C261,M8006C254,M8006C255,M8006C258,M8006C8,M8006C9,M8006C277,M8006C301,M8006C314,M8006C309,M8006C310,M8006C311,M8006C312,M8006C313,M8006C6,M8006C7,M8006C303,M8006C306,M8012C25,M8012C22,M8012C20,M8012C19,M8051C58,M8051C56,
2020-02-26 11:45:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-0,900,900,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-02-26 11:45:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-1,900,900,46,,46,7,14,25,0,0,0,0,,0,36,35,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,330,165,155555,78471,2,2,
2020-02-26 11:45:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-2,900,900,70,,65,4,21,40,0,0,0,0,,0,65,64,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33272,289,17256307,957380,4,4,
2020-02-26 11:45:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-3,900,900,2,,2,2,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2161,85,443124,28157,1,1,
2020-02-26 11:45:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-4,900,900,21,,19,4,8,7,0,0,0,0,,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,134,397477,235153,2,2,
2020-02-26 11:45:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-5,900,900,10,,15,6,0,9,0,0,0,0,,0,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5091,580,12446986,1524601,2,2,
2020-02-26 12:00:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-0,900,900,1,,1,1,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,252,430,0,1,
2020-02-26 12:00:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-1,900,900,63,,67,10,32,25,0,0,0,0,,0,58,55,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4846,211,2003535,299259,5,5,
2020-02-26 12:00:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-2,900,900,114,,101,0,49,52,0,0,0,0,,0,111,110,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,55655,1409,29418292,1817462,6,6,
2020-02-26 12:00:00,PLMN-PLMN/MRBTS-220027/LNBTS-220027/LNCEL-3,900,900,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
